task,window_k,model,metric,baseline_mean,full_mean,delta
veracity,10,logit,auc,0.6440797917332507,0.6454406319534366,0.0013608402201858993
veracity,10,rf,auc,0.5452155713868783,0.6193294529993203,0.07411388161244203
veracity,10,xgb,auc,0.632862991649463,0.6362919777700574,0.0034289861205943906
reach,10,ols,r2,0.009849860946022203,-0.09115638681765688,-0.10100624776367909
reach,10,rfreg,r2,0.03814592648687174,0.12651536459675214,0.0883694381098804
reach,10,xgbreg,r2,0.12533422623611995,0.1394642839717966,0.01413005773567666
veracity,20,logit,auc,0.6497148615142548,0.6567188554343464,0.007003993920091545
veracity,20,rf,auc,0.5424448512801255,0.6423376210827239,0.09989276980259831
veracity,20,xgb,auc,0.6276691058172549,0.6488770218423215,0.021207916025066664
reach,20,ols,r2,0.07658983681575857,-0.03256579941326125,-0.10915563622901982
reach,20,rfreg,r2,0.059967141498193,0.22889037450037972,0.1689232330021867
reach,20,xgbreg,r2,0.18649122960292094,0.22220473069230443,0.03571350108938348
veracity,30,logit,auc,0.6444410883597753,0.6505595790586913,0.006118490698916013
veracity,30,rf,auc,0.5535518814875717,0.6342914641723035,0.0807395826847318
veracity,30,xgb,auc,0.6157680857996588,0.6418565365529683,0.026088450753309456
reach,30,ols,r2,0.19430444871978036,-0.486651542526786,-0.6809559912465664
reach,30,rfreg,r2,0.07575966176216527,0.28003057352397376,0.2042709117618085
reach,30,xgbreg,r2,0.21684359699393063,0.264716293024458,0.04787269603052735
veracity,45,logit,auc,0.6368915886354978,0.6450135727435955,0.008121984108097724
veracity,45,rf,auc,0.5602842161199887,0.6502476386154157,0.08996342249542699
veracity,45,xgb,auc,0.6301591810116307,0.6561421662665399,0.025982985254909163
reach,45,ols,r2,0.23424286252742296,-0.6832364627246719,-0.9174793252520949
reach,45,rfreg,r2,0.0997196391606594,0.33094567810206155,0.23122603894140215
reach,45,xgbreg,r2,0.28070972294727586,0.3255236688715451,0.04481394592426924
veracity,60,logit,auc,0.6339279271119318,0.6403948324721547,0.006466905360222874
veracity,60,rf,auc,0.5971240507733239,0.6331055133855559,0.03598146261223201
veracity,60,xgb,auc,0.6254884240417473,0.6231436502733799,-0.002344773768367392
reach,60,ols,r2,0.23716329851970172,0.25410633731937116,0.016943038799669435
reach,60,rfreg,r2,0.16538598732480478,0.3701093029806451,0.20472331565584032
reach,60,xgbreg,r2,0.32659573854970714,0.34538092592886543,0.018785187379158297
veracity,90,logit,auc,0.6243795248296571,0.6215938705266355,-0.0027856543030215786
veracity,90,rf,auc,0.5672691414704351,0.6424724665993177,0.07520332512888261
veracity,90,xgb,auc,0.6083569674751661,0.6376002149117109,0.029243247436544828
reach,90,ols,r2,0.27873316939544374,0.3992856222696274,0.12055245287418365
reach,90,rfreg,r2,0.2334078244364874,0.45686093509214665,0.22345311065565926
reach,90,xgbreg,r2,0.41706742039420536,0.4571341033550141,0.04006668296080873
veracity,120,logit,auc,0.6279289223579636,0.6205978224491805,-0.007331099908783112
veracity,120,rf,auc,0.5663181412277647,0.6420491504016239,0.07573100917385922
veracity,120,xgb,auc,0.6154003450802822,0.6551756555723449,0.03977531049206273
reach,120,ols,r2,0.4015257569258863,0.5562370957185834,0.15471133879269705
reach,120,rfreg,r2,0.42975478016099355,0.6234905167576539,0.19373573659666032
reach,120,xgbreg,r2,0.5714267400006596,0.6023102098373905,0.030883469836730848
veracity,180,logit,auc,0.6093899015800759,0.6102043832600597,0.0008144816799837695
veracity,180,rf,auc,0.587192146978665,0.669074802837123,0.081882655858458
veracity,180,xgb,auc,0.5970940158173412,0.638063689708192,0.04096967389085082
reach,180,ols,r2,0.6123939756294428,0.7187970907573644,0.10640311512792167
reach,180,rfreg,r2,0.6618079539224213,0.7730794204955685,0.11127146657314724
reach,180,xgbreg,r2,0.7287427508790104,0.7721722176782938,0.04342946679928339
