task,metric,window_type,window_value,delta_mean,t_stat,p_value,effect_size_dz,n_folds
veracity,auc,k,10,0.0013608402201857662,0.21259682499134194,0.8420361605313114,0.09507619049625335,5
reach,r2,k,10,-0.10100624776367909,-0.978143460955703,0.3833873640108344,-0.4374390540887727,5
veracity,auc,k,20,0.007003993920091434,1.6551261588512687,0.17324111912752704,0.7401949205059104,5
reach,r2,k,20,-0.10915563622901983,-0.9050343475401694,0.4166299474966716,-0.40474366461439765,5
veracity,auc,k,30,0.006118490698915857,1.438736583802607,0.22362102294695166,0.6434225606196904,5
reach,r2,k,30,-0.6809559912465664,-2.329192272835461,0.08032313711787219,-1.0416464509454653,5
veracity,auc,k,45,0.008121984108097724,2.5685176560308713,0.06207600998959846,1.1486760160586902,5
reach,r2,k,45,-0.917479325252095,-3.872560185058995,0.017954368641298613,-1.7318615641502153,5
veracity,auc,k,60,0.006466905360222941,1.1946806314784282,0.29820640989847513,0.5342774206776281,5
reach,r2,k,60,0.016943038799669474,0.3193760051687516,0.765425438535955,0.14282929158793056,5
veracity,auc,k,90,-0.002785654303021512,-0.38632399120913985,0.7189265975023764,-0.17276934113653358,5
reach,r2,k,90,0.12055245287418366,3.0937981202528024,0.03643969803912079,1.3835885811092672,5
veracity,auc,k,120,-0.0073310999087831345,-1.2436329708939782,0.28154112812942517,-0.5561695723957906,5
reach,r2,k,120,0.1547113387926971,37.032743753714826,3.1746764787058985e-06,16.561546485327415,5
veracity,auc,k,180,0.000814481679983814,0.06322742554220029,0.9526188839333645,0.028276164310933268,5
reach,r2,k,180,0.10640311512792167,16.76068702157714,7.425867537368664e-05,7.495607105968993,5
