task,window_minutes,model,metric,mean,se,N_used
veracity,10,logit,auc,0.6690823363753443,0.011749832458374037,2281
reach,10,ols,r2,0.3459138727257288,0.053315175506846176,2281
veracity,20,logit,auc,0.6623834583633859,0.009468073882842534,2281
reach,20,ols,r2,0.44408269810688134,0.04951107723186987,2281
veracity,30,logit,auc,0.653109211702848,0.009389433639143557,2281
reach,30,ols,r2,-0.18585124384428872,0.3340635663479581,2281
veracity,45,logit,auc,0.6664783194759826,0.014197984291093969,2281
reach,45,ols,r2,0.5348195361758918,0.034737623179585925,2281
veracity,60,logit,auc,0.653383187062835,0.009510948933668707,2281
reach,60,ols,r2,0.6168134800839749,0.015473736448683379,2281
veracity,90,logit,auc,0.6615534264604708,0.011542392269609155,2281
reach,90,ols,r2,0.6675334002871439,0.01620792980682642,2281
veracity,120,logit,auc,0.6595871184561871,0.010705545036908518,2281
reach,120,ols,r2,0.6826701564801188,0.017950175012087687,2281
veracity,180,logit,auc,0.6617762047703384,0.016798467883753252,2281
reach,180,ols,r2,0.7521292907925019,0.0072553488698561515,2281
