task,window_type,window_value,feature_set,model,metric,mean,se,N_used
veracity,k,10,baseline,logit,auc,0.6440797917332507,0.004618377418013105,2281
reach,k,10,baseline,OLS,r2,0.009849860946022203,0.1047963303519428,2281
reach,k,10,baseline,OLS,mae,0.5813344573295945,0.012642658245222671,2281
veracity,k,10,structure_only,logit,auc,0.5,0.0,2281
reach,k,10,structure_only,OLS,r2,-0.003498378479635722,0.0018921542198120232,2281
reach,k,10,structure_only,OLS,mae,0.6358802700309443,0.008081631054831399,2281
veracity,k,10,full,logit,auc,0.6455788625395181,0.008919288731890886,2281
reach,k,10,full,OLS,r2,-0.08779901686111566,0.20457845583006282,2281
reach,k,10,full,OLS,mae,0.5819920980132738,0.014348502017639889,2281
veracity,k,10,interaction_full,logit,auc,0.6454406319534366,0.008862683463416985,2281
reach,k,10,interaction_full,OLS,r2,-0.09115638681765688,0.207824176994435,2281
reach,k,10,interaction_full,OLS,mae,0.5818973022069849,0.014492397223091523,2281
veracity,k,20,baseline,logit,auc,0.6497148615142548,0.007547203837901022,2281
reach,k,20,baseline,OLS,r2,0.07658983681575857,0.12185034376465934,2281
reach,k,20,baseline,OLS,mae,0.550871295371594,0.012629269377660691,2281
veracity,k,20,structure_only,logit,auc,0.5008746355685132,0.0005830903790087466,2281
reach,k,20,structure_only,OLS,r2,-0.2030070627952599,0.19925779130246934,2281
reach,k,20,structure_only,OLS,mae,21916711517.31332,21916711516.679173,2281
veracity,k,20,full,logit,auc,0.6567445500129778,0.005684833395940551,2281
reach,k,20,full,OLS,r2,-0.03244801928493379,0.2420452327937917,2281
reach,k,20,full,OLS,mae,130807947391.77596,130807947391.23984,2281
veracity,k,20,interaction_full,logit,auc,0.6567188554343464,0.005676617787041331,2281
reach,k,20,interaction_full,OLS,r2,-0.03256579941326125,0.2420342883739559,2281
reach,k,20,interaction_full,OLS,mae,14003327959.650055,14003327959.114151,2281
veracity,k,30,baseline,logit,auc,0.6444410883597753,0.00784764668711515,2281
reach,k,30,baseline,OLS,r2,0.19430444871978036,0.061535298498354735,2281
reach,k,30,baseline,OLS,mae,0.5287287244850518,0.0114057771244119,2281
