task,window_k,model,metric,mean,se,N_used
veracity,10,logit,auc,0.6454406319534366,0.008862683463416985,2281
veracity,10,rf,auc,0.6193294529993203,0.012772181939949006,2281
veracity,10,xgb,auc,0.6362919777700574,0.009598254005619488,2281
reach,10,ols,r2,-0.09115638681765688,0.207824176994435,2281
reach,10,ols,mae,0.5818973022069849,0.014492397223091523,2281
reach,10,rfreg,r2,0.12651536459675214,0.005808130078939137,2281
reach,10,rfreg,mae,0.5578344688765048,0.009483439348535861,2281
reach,10,xgbreg,r2,0.1394642839717966,0.011806066067238642,2281
reach,10,xgbreg,mae,0.5661855261201142,0.008619189655651118,2281
veracity,20,logit,auc,0.6567188554343464,0.005676617787041331,2281
veracity,20,rf,auc,0.6423376210827239,0.011391841420190273,2281
veracity,20,xgb,auc,0.6488770218423215,0.011944083498261851,2281
reach,20,ols,r2,-0.03256579941326125,0.2420342883739559,2281
reach,20,ols,mae,14003327959.650055,14003327959.114151,2281
reach,20,rfreg,r2,0.22889037450037972,0.013813888714768062,2281
reach,20,rfreg,mae,0.5214647823319953,0.008733011039710352,2281
reach,20,xgbreg,r2,0.22220473069230443,0.01645400604917445,2281
reach,20,xgbreg,mae,0.5347904975424471,0.00890081764523743,2281
veracity,30,logit,auc,0.6505595790586913,0.0102796417095588,2281
veracity,30,rf,auc,0.6342914641723035,0.00952103612480647,2281
veracity,30,xgb,auc,0.6418565365529683,0.01582571539142211,2281
reach,30,ols,r2,-0.486651542526786,0.3146342707863108,2281
reach,30,ols,mae,681288306022.693,671652652322.1118,2281
reach,30,rfreg,r2,0.28003057352397376,0.011568763678582047,2281
reach,30,rfreg,mae,0.5026937509410819,0.004810705243387893,2281
reach,30,xgbreg,r2,0.264716293024458,0.013690028921294164,2281
reach,30,xgbreg,mae,0.5156756030027312,0.005255863192807231,2281
veracity,45,logit,auc,0.6450135727435955,0.01015097073687402,2281
veracity,45,rf,auc,0.6502476386154157,0.00919658831602323,2281
veracity,45,xgb,auc,0.6561421662665399,0.0047696750197476715,2281
reach,45,ols,r2,-0.6832364627246719,0.24275645454611627,2281
reach,45,ols,mae,0.8209589078764526,0.24741344157475115,2281
reach,45,rfreg,r2,0.33094567810206155,0.015084298521310454,2281
reach,45,rfreg,mae,0.47856004646204,0.0060465875530870865,2281
reach,45,xgbreg,r2,0.3255236688715451,0.01768210996005427,2281
reach,45,xgbreg,mae,0.4911257442086424,0.005590617612171216,2281
veracity,60,logit,auc,0.6403948324721547,0.013630213417723717,2281
veracity,60,rf,auc,0.6331055133855559,0.012475349074562755,2281
veracity,60,xgb,auc,0.6231436502733799,0.013833338064451535,2281
reach,60,ols,r2,0.25410633731937116,0.05416804250025332,2281
reach,60,ols,mae,0.5028376122520882,0.009437986723948954,2281
reach,60,rfreg,r2,0.3701093029806451,0.025826799427621557,2281
reach,60,rfreg,mae,0.4610871759557932,0.009034868802061327,2281
reach,60,xgbreg,r2,0.34538092592886543,0.020766009037744466,2281
reach,60,xgbreg,mae,0.47867793970466055,0.009715006240680474,2281
veracity,90,logit,auc,0.6215938705266355,0.013622948885039373,2281
veracity,90,rf,auc,0.6424724665993177,0.011444236674248631,2281
veracity,90,xgb,auc,0.6376002149117109,0.0083533073445829,2281
reach,90,ols,r2,0.3992856222696274,0.03192313765560102,2281
reach,90,ols,mae,0.45746748163326834,0.009873292470287367,2281
reach,90,rfreg,r2,0.45686093509214665,0.016091649568512435,2281
reach,90,rfreg,mae,0.4228869660765856,0.005313092201809383,2281
reach,90,xgbreg,r2,0.4571341033550141,0.018103742765238653,2281
reach,90,xgbreg,mae,0.430708372722702,0.006578675308508273,2281
veracity,120,logit,auc,0.6205978224491805,0.01427609980554257,2281
veracity,120,rf,auc,0.6420491504016239,0.01430490950358363,2281
veracity,120,xgb,auc,0.6551756555723449,0.009668656090799527,2281
reach,120,ols,r2,0.5562370957185834,0.02165499595364627,2281
reach,120,ols,mae,0.3799000939868692,0.006307838693026527,2281
reach,120,rfreg,r2,0.6234905167576539,0.012306176725614237,2281
reach,120,rfreg,mae,0.32903297659720304,0.004705322246617961,2281
reach,120,xgbreg,r2,0.6023102098373905,0.01835271662396899,2281
reach,120,xgbreg,mae,0.3458887595523373,0.005959290114296797,2281
veracity,180,logit,auc,0.6102043832600597,0.01538820010127878,2281
veracity,180,rf,auc,0.669074802837123,0.013454458849109235,2281
veracity,180,xgb,auc,0.638063689708192,0.012358494088871063,2281
reach,180,ols,r2,0.7187970907573644,0.013013215029210578,2281
reach,180,ols,mae,0.2837081095012185,0.0063991579725418005,2281
reach,180,rfreg,r2,0.7730794204955685,0.017180514454374258,2281
reach,180,rfreg,mae,0.22141475892981738,0.008855032630800614,2281
reach,180,xgbreg,r2,0.7721722176782938,0.013718508626391932,2281
reach,180,xgbreg,mae,0.22969717471907708,0.006960261493812078,2281
