window_type,window_value,feature,corr_with_log_volume_raw,corr_with_log_volume_resid,n
time,10,leaf_fraction,0.38059659330755513,1.4226769462933353e-15,2281
time,10,internal_fraction,-0.380596593307555,1.1505802625760308e-15,2281
time,10,depth_mean_norm,-0.24333099018653012,-7.041147062559644e-16,2281
time,10,depth_std_norm,-0.39987519297375,6.346703850191498e-16,2281
time,10,depth_entropy_norm,-0.2912655763441366,1.1814156019071842e-15,2281
time,10,depth_p90_norm,-0.1439175529864566,6.086063464522354e-16,2281
time,10,degree_gini,0.740496297968104,-2.897528900367949e-16,2281
time,10,branching_entropy_norm,0.16902840910788186,1.2395066202364267e-16,2281
time,10,subtree_imbalance,0.16636431606977667,-7.559612344034447e-17,2281
time,10,virality_norm,-0.5753245829138152,1.3477698259979704e-15,2281
time,20,leaf_fraction,0.30963652809305764,1.96391638406909e-15,2281
time,20,internal_fraction,-0.30963652809305753,-3.978425461872981e-16,2281
time,20,depth_mean_norm,-0.3211505472304728,-4.985039371512302e-16,2281
time,20,depth_std_norm,-0.3467946919216776,8.74404757340347e-17,2281
time,20,depth_entropy_norm,-0.24496995148242723,-1.0680550029074117e-16,2281
time,20,depth_p90_norm,-0.22288498714301136,3.0918947002283397e-16,2281
time,20,degree_gini,0.6926753843928997,5.407854513918809e-17,2281
time,20,branching_entropy_norm,0.11481836844829792,-5.089922339213131e-17,2281
time,20,subtree_imbalance,0.16430547715585078,-1.5781671187974356e-17,2281
time,20,virality_norm,-0.5909611639490178,2.055160532637711e-17,2281
time,30,leaf_fraction,0.2800306099083198,-5.6496972971091245e-15,2281
time,30,internal_fraction,-0.2800306099083197,-6.586146137820217e-16,2281
time,30,depth_mean_norm,-0.3472502285507364,-7.94688200706823e-16,2281
time,30,depth_std_norm,-0.31844804961591355,-4.3686030391019606e-16,2281
time,30,depth_entropy_norm,-0.2178555594128251,-9.621526246106723e-16,2281
time,30,depth_p90_norm,-0.24735310503684138,-1.0952375580041672e-15,2281
time,30,degree_gini,0.6682330900138401,-1.3158667678775431e-15,2281
time,30,branching_entropy_norm,0.059549458852504816,-4.665080197030008e-16,2281
time,30,subtree_imbalance,0.15586605404031845,5.334977672738867e-17,2281
time,30,virality_norm,-0.5840866960656081,-3.760374181683849e-16,2281
time,45,leaf_fraction,0.24836994498278153,-2.3923110019053103e-15,2281
time,45,internal_fraction,-0.24836994498278153,-4.647732273456367e-16,2281
time,45,depth_mean_norm,-0.38029007639303153,9.9587955731845e-17,2281
time,45,depth_std_norm,-0.28992405334774063,3.5336073166851665e-16,2281
time,45,depth_entropy_norm,-0.19541601027098263,7.270053027265663e-17,2281
time,45,depth_p90_norm,-0.2636244818474023,-4.1881374450908216e-16,2281
time,45,degree_gini,0.6340985959845193,-1.0517009600030862e-15,2281
time,45,branching_entropy_norm,0.015703121568087865,-7.42332128805947e-17,2281
time,45,subtree_imbalance,0.1377438256320739,-1.171614217184225e-17,2281
time,45,virality_norm,-0.5869500544463556,3.6458165554756896e-16,2281
time,60,leaf_fraction,0.22844318109081613,1.3244027395365449e-15,2281
time,60,internal_fraction,-0.22844318109081616,4.837537464973842e-17,2281
time,60,depth_mean_norm,-0.3708273215198477,6.592103700322187e-16,2281
time,60,depth_std_norm,-0.26918769553373884,-1.254333978775533e-16,2281
time,60,depth_entropy_norm,-0.17961801970878014,-2.3794082632739206e-16,2281
time,60,depth_p90_norm,-0.26954924567540683,-6.318992652550145e-16,2281
time,60,degree_gini,0.6190519135980306,7.776052657221612e-18,2281
time,60,branching_entropy_norm,-0.020667097743731145,3.6334011378521054e-17,2281
time,60,subtree_imbalance,0.13239868296676324,2.367092417390857e-17,2281
time,60,virality_norm,-0.5577057582707258,-2.5234855017865886e-16,2281
time,90,leaf_fraction,0.16489670593976974,-6.284828002461565e-16,2281
time,90,internal_fraction,-0.1648967059397697,-1.6788239184657603e-16,2281
time,90,depth_mean_norm,-0.33769459221726883,-1.1410460045865799e-15,2281
time,90,depth_std_norm,-0.21455569591135432,-3.40074083601983e-16,2281
time,90,depth_entropy_norm,-0.12223468954544574,-4.038805094713814e-16,2281
time,90,depth_p90_norm,-0.23616009364513535,-2.6873475780667006e-17,2281
time,90,degree_gini,0.5983889457821985,-1.409817566587694e-15,2281
time,90,branching_entropy_norm,-0.019739918949400446,-1.3726048817261884e-17,2281
time,90,subtree_imbalance,0.1352146558811304,6.325914281971058e-17,2281
time,90,virality_norm,-0.5342109277803391,1.4947060357734934e-16,2281
time,120,leaf_fraction,0.15158361352187574,2.4846768780775623e-15,2281
time,120,internal_fraction,-0.15158361352187563,1.8125079411847542e-16,2281
time,120,depth_mean_norm,-0.3318898487637477,-2.744829648367553e-16,2281
time,120,depth_std_norm,-0.20015674724157193,8.031880300469282e-17,2281
time,120,depth_entropy_norm,-0.11017305147153121,5.335810413051044e-16,2281
time,120,depth_p90_norm,-0.2404899138908076,-8.473185968681549e-17,2281
time,120,degree_gini,0.5874096330936333,1.1972424389406664e-15,2281
time,120,branching_entropy_norm,-0.007535005907444836,4.946770428596781e-16,2281
time,120,subtree_imbalance,0.14667839090723525,-5.628210878809418e-17,2281
time,120,virality_norm,-0.5205435117414943,3.5314208265282565e-16,2281
time,180,leaf_fraction,0.15955737434730424,-6.99844807690395e-16,2281
time,180,internal_fraction,-0.15955737434730424,-3.1876753184160777e-16,2281
time,180,depth_mean_norm,-0.3792681766046698,2.4934357892855775e-16,2281
time,180,depth_std_norm,-0.21638052084493536,-4.146837104367626e-16,2281
time,180,depth_entropy_norm,-0.12465190007917161,1.3588737807414436e-16,2281
time,180,depth_p90_norm,-0.2813089203064708,-1.1018404428381151e-15,2281
time,180,degree_gini,0.5481519918637147,4.799838961036138e-16,2281
time,180,branching_entropy_norm,-0.027576757290004986,-1.0287965242875665e-16,2281
time,180,subtree_imbalance,0.14433932022539703,1.210552855324042e-16,2281
