dataset,cascade_id,label,y_false,final_size,final_depth,reach_target,window_type,window_value,not_reached_k,early_n_nodes,early_depth,avg_root_distance,early_width,branching_factor,internal_node_share,leaf_fraction,outdegree_entropy,structural_virality_proxy
twitter15,265953285247209472,false,1,212,2,5.3612921657094255,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,265953285247209472,false,1,212,2,5.3612921657094255,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,265953285247209472,false,1,212,2,5.3612921657094255,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,273182568298450945,false,1,354,2,5.872117789475416,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,273182568298450945,false,1,354,2,5.872117789475416,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,273182568298450945,false,1,354,2,5.872117789475416,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,273278761909239808,false,1,386,2,5.958424693029782,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,273278761909239808,false,1,386,2,5.958424693029782,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,273278761909239808,false,1,386,2,5.958424693029782,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,295152287901417472,true,0,103,2,4.6443908991413725,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,295152287901417472,true,0,103,2,4.6443908991413725,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,295152287901417472,true,0,103,2,4.6443908991413725,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,295944137948151809,false,1,1991,5,7.596894438144544,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,295944137948151809,false,1,1991,5,7.596894438144544,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,295944137948151809,false,1,1991,5,7.596894438144544,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,318263294098030593,false,1,1330,8,7.193685818395112,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,318263294098030593,false,1,1330,8,7.193685818395112,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,318263294098030593,false,1,1330,8,7.193685818395112,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,319166636902998016,false,1,303,3,5.717027701406222,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,319166636902998016,false,1,303,3,5.717027701406222,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,319166636902998016,false,1,303,3,5.717027701406222,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,326137285450018817,false,1,723,4,6.584791392385716,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,326137285450018817,false,1,723,4,6.584791392385716,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,326137285450018817,false,1,723,4,6.584791392385716,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,334722003057647616,false,1,624,3,6.437751649736401,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,334722003057647616,false,1,624,3,6.437751649736401,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,334722003057647616,false,1,624,3,6.437751649736401,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,336873759271157760,true,0,647,2,6.473890696352274,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,336873759271157760,true,0,647,2,6.473890696352274,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,336873759271157760,true,0,647,2,6.473890696352274,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,336913656921083904,true,0,244,3,5.501258210544727,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,336913656921083904,true,0,244,3,5.501258210544727,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,336913656921083904,true,0,244,3,5.501258210544727,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,348203818741272576,true,0,178,3,5.187385805840755,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,348203818741272576,true,0,178,3,5.187385805840755,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,348203818741272576,true,0,178,3,5.187385805840755,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,348204426659508226,true,0,178,3,5.187385805840755,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,348204426659508226,true,0,178,3,5.187385805840755,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,348204426659508226,true,0,178,3,5.187385805840755,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,348209998565879810,false,1,128,2,4.859812404361672,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,348209998565879810,false,1,128,2,4.859812404361672,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,348209998565879810,false,1,128,2,4.859812404361672,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,351767344097398785,false,1,121,3,4.804021044733257,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,351767344097398785,false,1,121,3,4.804021044733257,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,351767344097398785,false,1,121,3,4.804021044733257,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,352075672543428608,false,1,259,2,5.560681631015528,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,352075672543428608,false,1,259,2,5.560681631015528,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,352075672543428608,false,1,259,2,5.560681631015528,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,356268980211687424,false,1,122,4,4.812184355372417,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,356268980211687424,false,1,122,4,4.812184355372417,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,356268980211687424,false,1,122,4,4.812184355372417,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,356297080169447425,false,1,219,5,5.393627546352362,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,356297080169447425,false,1,219,5,5.393627546352362,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,356297080169447425,false,1,219,5,5.393627546352362,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,356310469390245888,false,1,131,4,4.882801922586371,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,356310469390245888,false,1,131,4,4.882801922586371,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,356310469390245888,false,1,131,4,4.882801922586371,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,356407105953071107,false,1,160,4,5.081404364984463,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,356407105953071107,false,1,160,4,5.081404364984463,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,356407105953071107,false,1,160,4,5.081404364984463,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,356437941641416705,false,1,110,5,4.709530201312334,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,356437941641416705,false,1,110,5,4.709530201312334,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,356437941641416705,false,1,110,5,4.709530201312334,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,357299879070023680,false,1,135,3,4.912654885736052,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,357299879070023680,false,1,135,3,4.912654885736052,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,357299879070023680,false,1,135,3,4.912654885736052,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,357300409292959744,false,1,138,3,4.9344739331306915,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,357300409292959744,false,1,138,3,4.9344739331306915,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,357300409292959744,false,1,138,3,4.9344739331306915,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,358591089462099968,false,1,174,2,5.1647859739235145,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
twitter15,358591089462099968,false,1,174,2,5.1647859739235145,k,20,False,20,1,0.95,19,19.0,0.05,0.95,0.28639695711595625,1.9
twitter15,358591089462099968,false,1,174,2,5.1647859739235145,k,50,False,50,1,0.98,49,49.0,0.02,0.98,0.14144054254182067,1.96
twitter15,364383457545162754,false,1,311,2,5.7430031878094825,k,10,False,10,1,0.9,9,9.0,0.1,0.9,0.4689955935892812,1.8
