task,K,model,metric,baseline_mean,full_mean,delta,N_used
veracity,10,LOGIT,roc_auc,0.5265243465807375,0.5357047029338051,0.009180356353067576,1752
veracity,10,RF,roc_auc,0.5581785872243634,0.5504659232113898,-0.007712664012973658,1752
veracity,10,GB,roc_auc,0.5644194519913228,0.5730395316021145,0.008620079610791698,1752
reach,10,OLS,r2,0.04547685597233386,0.05169844286491469,0.00622158689258083,1752
reach,10,RFREG,r2,-0.09776406770068893,-0.04560745352560902,0.05215661417507991,1752
reach,10,GBREG,r2,0.08003094854385188,0.09584661127024605,0.01581566272639416,1752
veracity,20,LOGIT,roc_auc,0.5018132806661685,0.518022312373225,0.016209031707056565,1138
veracity,20,RF,roc_auc,0.5885370627379809,0.5892432653642219,0.0007062026262409926,1138
veracity,20,GB,roc_auc,0.5872047258104693,0.6033637592968223,0.016159033486352947,1138
reach,20,OLS,r2,0.015168824166762929,0.022014854836903686,0.006846030670140757,1138
reach,20,RFREG,r2,-0.09394893069476282,-0.03807836844499801,0.055870562249764805,1138
reach,20,GBREG,r2,0.025617166729792817,0.06122173037482874,0.03560456364503592,1138
veracity,50,LOGIT,roc_auc,0.3990862643465383,0.5064420584968531,0.10735579415031477,492
veracity,50,RF,roc_auc,0.6226293965198075,0.5708478341355054,-0.05178156238430209,492
veracity,50,GB,roc_auc,0.6350758978156239,0.6180259163272861,-0.017049981488337806,492
reach,50,OLS,r2,-0.03228078758340454,0.0577186325710598,0.08999942015446434,492
reach,50,RFREG,r2,-0.14385971487231725,0.09530485997271128,0.2391645748450285,492
reach,50,GBREG,r2,-0.023406334120933115,0.09666828921682624,0.12007462333775935,492
