task,K,model,metric,full_original,full_ext,delta_time_to_K,N_used
reach,10,GBREG,mae,0.5884144221936306,0.41052611567774056,-0.17788830651589005,1752
reach,20,GBREG,mae,0.4823996564661332,0.3400003084413412,-0.14239934802479198,1138
reach,50,GBREG,mae,0.32222086484275597,0.23612308701110463,-0.08609777783165135,492
reach,10,OLS,mae,0.6084368053933327,0.6204017270555,0.011964921662167338,1752
reach,20,OLS,mae,0.5030915363929446,0.5164077523738215,0.013316215980876955,1138
reach,50,OLS,mae,0.3448993344378112,0.34447962271168825,-0.00041971172612292884,492
reach,10,GBREG,r2,0.09584661127024605,0.4853494543251303,0.38950284305488425,1752
reach,20,GBREG,r2,0.06122173037482874,0.4537018298381158,0.39248009946328705,1138
reach,50,GBREG,r2,0.09666828921682624,0.4000525230983696,0.30338423388154334,492
reach,10,OLS,r2,0.05169844286491469,-0.45321348764690994,-0.5049119305118246,1752
reach,20,OLS,r2,0.022014854836903686,-0.6737815174508425,-0.6957963722877462,1138
reach,50,OLS,r2,0.0577186325710598,0.06172055005047814,0.004001917479418339,492
veracity,10,GB,roc_auc,0.5730395316021145,0.5774457677807965,0.004406236178681966,1752
veracity,20,GB,roc_auc,0.6033637592968223,0.599332941888189,-0.004030817408633314,1138
veracity,50,GB,roc_auc,0.6180259163272861,0.6226019992595335,0.004576082932247427,492
veracity,10,LOGIT,roc_auc,0.5357047029338051,0.5393836481961206,0.0036789452623154917,1752
veracity,20,LOGIT,roc_auc,0.518022312373225,0.5151971460090388,-0.0028251663641862823,1138
veracity,50,LOGIT,roc_auc,0.5064420584968531,0.5288411699370603,0.02239911144020723,492
