task,window_minutes,model,metric,mean,std,N_used
veracity,30,logit,auc,0.6571009332494897,0.018088679784957484,2281
veracity,30,rf,auc,0.6688852732908286,0.007262498756748472,2281
veracity,30,xgb,auc,0.6438563717868465,0.014568266413738705,2281
reach,30,ols,r2,0.3922702443742236,0.05904851545733291,2281
reach,30,ols,mae,0.45901131304545356,0.008905351478430157,2281
reach,30,rfreg,r2,0.5713401952470836,0.032606421032270835,2281
reach,30,rfreg,mae,0.36335403637121094,0.01291734372419087,2281
reach,30,xgbreg,r2,0.5679109545078829,0.035347497940147826,2281
reach,30,xgbreg,mae,0.3719469669739488,0.011499563555532338,2281
veracity,60,logit,auc,0.645391115493404,0.02721702471068225,2281
veracity,60,rf,auc,0.7067097383191531,0.02319685993737485,2281
veracity,60,xgb,auc,0.6675435148091896,0.02258771295990177,2281
reach,60,ols,r2,0.47214361473165045,0.04354423097941127,2281
reach,60,ols,mae,0.42604382580973565,0.013459567364001888,2281
reach,60,rfreg,r2,0.6644806558513832,0.03761710229071092,2281
reach,60,rfreg,mae,0.3138927365260044,0.01380150183795814,2281
reach,60,xgbreg,r2,0.6569153556470138,0.03629022264760199,2281
reach,60,xgbreg,mae,0.3208452489131912,0.012262333280988526,2281
veracity,180,logit,auc,0.636534165452805,0.023797699332866733,2281
veracity,180,rf,auc,0.7069188184565998,0.020501863112516255,2281
veracity,180,xgb,auc,0.6701337712650928,0.021881381701309224,2281
reach,180,ols,r2,0.6287233798231011,0.023884874324743167,2281
reach,180,ols,mae,0.34972960385033186,0.011186402661953513,2281
reach,180,rfreg,r2,0.7883741203391967,0.0194748936513394,2281
reach,180,rfreg,mae,0.22641385337100473,0.007521966313183296,2281
reach,180,xgbreg,r2,0.7804669568185765,0.019660141214023576,2281
reach,180,xgbreg,mae,0.23037063210575554,0.00980226406040837,2281
