window_type,window_value,task,model_family,feature_set,metric,metric_mean,metric_std,N_used
k,10,veracity_binary,logistic,baseline,auc,0.5,0.0,2281
k,10,veracity_binary,logistic,structure_only,auc,0.5014723084877929,0.0018412239763613007,2281
k,10,veracity_binary,logistic,full,auc,0.5014723084877929,0.0018412239763613007,2281
k,10,veracity_multiclass,multinomial_logistic,baseline,macro_f1,0.10108397881478999,0.0003196868870320542,2281
k,10,veracity_multiclass,multinomial_logistic,structure_only,macro_f1,0.1028890373229829,0.002609069084075268,2281
k,10,veracity_multiclass,multinomial_logistic,full,macro_f1,0.1028890373229829,0.002609069084075268,2281
k,10,reach,linear_regression,baseline,r2,-0.003498378479635722,0.0037843084396240465,2281
k,10,reach,linear_regression,baseline,mae,0.6358802700309443,0.0161632621096628,2281
k,10,reach,linear_regression,structure_only,r2,-0.0023185083786703142,0.005086279024762407,2281
k,10,reach,linear_regression,structure_only,mae,0.6354187361670542,0.01574746081264663,2281
k,10,reach,linear_regression,full,r2,-0.004274558451105292,0.003153793338640588,2281
k,10,reach,linear_regression,full,mae,0.6364861661726774,0.01584602264650497,2281
k,20,veracity_binary,logistic,baseline,auc,0.5,0.0,2281
k,20,veracity_binary,logistic,structure_only,auc,0.4976479336379894,0.0019717889709043425,2281
k,20,veracity_binary,logistic,full,auc,0.4976479336379894,0.0019717889709043425,2281
k,20,veracity_multiclass,multinomial_logistic,baseline,macro_f1,0.10108397881478999,0.0003196868870320542,2281
k,20,veracity_multiclass,multinomial_logistic,structure_only,macro_f1,0.11149672699402642,0.0060235894655142974,2281
k,20,veracity_multiclass,multinomial_logistic,full,macro_f1,0.11149672699402642,0.0060235894655142974,2281
k,20,reach,linear_regression,baseline,r2,-0.003498378479635722,0.0037843084396240465,2281
k,20,reach,linear_regression,baseline,mae,0.6358802700309443,0.0161632621096628,2281
k,20,reach,linear_regression,structure_only,r2,-1.1316027312555347e+25,1.8295021287896528e+25,2281
k,20,reach,linear_regression,structure_only,mae,72794065621.9141,99205656171.73009,2281
k,20,reach,linear_regression,full,r2,-3.0974427877283403e+24,4.3198914186295367e+24,2281
k,20,reach,linear_regression,full,mae,39847865906.51372,50669489278.888145,2281
k,50,veracity_binary,logistic,baseline,auc,0.5,0.0,2281
k,50,veracity_binary,logistic,structure_only,auc,0.4951933483689633,0.005260945991903423,2281
k,50,veracity_binary,logistic,full,auc,0.4951933483689633,0.005260945991903423,2281
k,50,veracity_multiclass,multinomial_logistic,baseline,macro_f1,0.10108397881478999,0.0003196868870320542,2281
k,50,veracity_multiclass,multinomial_logistic,structure_only,macro_f1,0.13812512717606293,0.010172893132865554,2281
k,50,veracity_multiclass,multinomial_logistic,full,macro_f1,0.13812512717606293,0.010172893132865554,2281
k,50,reach,linear_regression,baseline,r2,-0.003498378479635722,0.0037843084396240465,2281
k,50,reach,linear_regression,baseline,mae,0.6358802700309443,0.0161632621096628,2281
k,50,reach,linear_regression,structure_only,r2,0.00035833947673808987,0.05410033635793025,2281
k,50,reach,linear_regression,structure_only,mae,0.624140825548634,0.012060208762779995,2281
k,50,reach,linear_regression,full,r2,0.00035833947675092406,0.05410033635790466,2281
k,50,reach,linear_regression,full,mae,0.6241408255486335,0.012060208762780559,2281
