task,window_type,window_value,feature_set,model,metric,mean,std,N_used
veracity,k,10,baseline,logit,roc_auc,0.555235258884359,0.018091883566144024,2308
veracity,k,10,structure_only,logit,roc_auc,0.526414685745698,0.015253269985076784,2308
veracity,k,10,full,logit,roc_auc,0.555058524110369,0.014837559961744863,2308
reach,k,10,baseline,OLS,r2,0.46929909418987614,0.02338092919933222,2308
reach,k,10,baseline,OLS,mae,0.5615858198591821,0.0207220240181496,2308
reach,k,10,structure_only,OLS,r2,0.2576829488411958,0.03399978668193984,2308
reach,k,10,structure_only,OLS,mae,0.665525149054724,0.02256393107506166,2308
reach,k,10,full,OLS,r2,0.4931517787844218,0.02263061902242095,2308
reach,k,10,full,OLS,mae,0.5386249546447793,0.02037231308565577,2308
veracity,k,20,baseline,logit,roc_auc,0.5493520087085441,0.020383245541712156,2308
veracity,k,20,structure_only,logit,roc_auc,0.5355167656131289,0.013170701180860065,2308
veracity,k,20,full,logit,roc_auc,0.5462976882234034,0.01218930602065328,2308
reach,k,20,baseline,OLS,r2,0.7323994977470579,0.01307361682276488,2308
reach,k,20,baseline,OLS,mae,0.36269663278778647,0.008799238474266328,2308
reach,k,20,structure_only,OLS,r2,0.39584373566369546,0.031925938946335365,2308
reach,k,20,structure_only,OLS,mae,0.6085315838273183,0.020187318309161525,2308
reach,k,20,full,OLS,r2,0.7510764369187379,0.01113378979571677,2308
reach,k,20,full,OLS,mae,0.34571155160303346,0.00847745178863381,2308
veracity,k,50,baseline,logit,roc_auc,0.542066743776585,0.014590786057594627,2308
veracity,k,50,structure_only,logit,roc_auc,0.5356532458229915,0.019311592785741814,2308
veracity,k,50,full,logit,roc_auc,0.5445401035551921,0.016264213283080607,2308
reach,k,50,baseline,OLS,r2,0.9060458758961261,0.006333185842704358,2308
reach,k,50,baseline,OLS,mae,0.22368953930245325,0.008853679397460944,2308
reach,k,50,structure_only,OLS,r2,0.5192484141266455,0.04133363841963297,2308
reach,k,50,structure_only,OLS,mae,0.5228815318554435,0.02055848330531859,2308
reach,k,50,full,OLS,r2,0.9286713490342781,0.006759762457143369,2308
reach,k,50,full,OLS,mae,0.17578125879725703,0.006134213963559231,2308
