task,window_type,window_value,feature_set,model,metric,mean,std,N_total,N_used,coverage_geK,coverage_gtK
veracity,k,10,baseline,logit,roc_auc,0.5265243465807375,0.02539212549766715,2308,1752,0.7850953206239168,0.7590987868284229
veracity,k,10,structure_only,logit,roc_auc,0.5237412859880795,0.01377577868344099,2308,1752,0.7850953206239168,0.7590987868284229
veracity,k,10,full,logit,roc_auc,0.5357047029338051,0.020743423059342923,2308,1752,0.7850953206239168,0.7590987868284229
reach,k,10,baseline,OLS,r2,0.04547685597233386,0.02107784870879203,2308,1752,0.7850953206239168,0.7590987868284229
reach,k,10,baseline,OLS,mae,0.6102252213816897,0.011464843908378921,2308,1752,0.7850953206239168,0.7590987868284229
reach,k,10,structure_only,OLS,r2,0.0038449503737260525,0.0054179001262625,2308,1752,0.7850953206239168,0.7590987868284229
reach,k,10,structure_only,OLS,mae,0.6254019609016176,0.011605613802172569,2308,1752,0.7850953206239168,0.7590987868284229
reach,k,10,full,OLS,r2,0.05169844286491469,0.017011424076654087,2308,1752,0.7850953206239168,0.7590987868284229
reach,k,10,full,OLS,mae,0.6084368053933327,0.009503441235997032,2308,1752,0.7850953206239168,0.7590987868284229
veracity,k,20,baseline,logit,roc_auc,0.5018132806661685,0.0440612393322352,2308,1138,0.5151646447140381,0.4930675909878683
veracity,k,20,structure_only,logit,roc_auc,0.5264600903882425,0.014514426479380036,2308,1138,0.5151646447140381,0.4930675909878683
veracity,k,20,full,logit,roc_auc,0.518022312373225,0.022049817167269593,2308,1138,0.5151646447140381,0.4930675909878683
reach,k,20,baseline,OLS,r2,0.015168824166762929,0.03509624950005385,2308,1138,0.5151646447140381,0.4930675909878683
reach,k,20,baseline,OLS,mae,0.5084990698477586,0.026889927004755537,2308,1138,0.5151646447140381,0.4930675909878683
reach,k,20,structure_only,OLS,r2,0.00585263037642334,0.01109803663868544,2308,1138,0.5151646447140381,0.4930675909878683
reach,k,20,structure_only,OLS,mae,0.5099023632053286,0.022915589223124717,2308,1138,0.5151646447140381,0.4930675909878683
reach,k,20,full,OLS,r2,0.022014854836903686,0.04108726091227866,2308,1138,0.5151646447140381,0.4930675909878683
reach,k,20,full,OLS,mae,0.5030915363929446,0.025758541559305893,2308,1138,0.5151646447140381,0.4930675909878683
veracity,k,50,baseline,logit,roc_auc,0.3990862643465383,0.038819384181633755,2308,492,0.2188041594454073,0.21317157712305027
veracity,k,50,structure_only,logit,roc_auc,0.5523709737134395,0.05722669415424925,2308,492,0.2188041594454073,0.21317157712305027
veracity,k,50,full,logit,roc_auc,0.5064420584968531,0.0497800590703384,2308,492,0.2188041594454073,0.21317157712305027
reach,k,50,baseline,OLS,r2,-0.03228078758340454,0.049254828918261905,2308,492,0.2188041594454073,0.21317157712305027
reach,k,50,baseline,OLS,mae,0.36441890451015296,0.03424869085335135,2308,492,0.2188041594454073,0.21317157712305027
reach,k,50,structure_only,OLS,r2,0.04820655450036428,0.06738483905211302,2308,492,0.2188041594454073,0.21317157712305027
reach,k,50,structure_only,OLS,mae,0.3466057949356454,0.022469202134373995,2308,492,0.2188041594454073,0.21317157712305027
reach,k,50,full,OLS,r2,0.0577186325710598,0.07074251805475756,2308,492,0.2188041594454073,0.21317157712305027
reach,k,50,full,OLS,mae,0.3448993344378112,0.024328621780611036,2308,492,0.2188041594454073,0.21317157712305027
