window_type,window_value,task,model_family,feature_set,metric,metric_mean,metric_std,N_used
time,30,veracity_binary,logistic,baseline,auc,0.6491314688315343,0.02024972972872029,2233
time,30,veracity_binary,logistic,structure_only,auc,0.6223296974817576,0.020523235539688118,2233
time,30,veracity_binary,logistic,full,auc,0.6421782232096527,0.02107429742740233,2233
time,30,veracity_multiclass,multinomial_logistic,baseline,macro_f1,0.37183256445065316,0.021175951323274773,2233
time,30,veracity_multiclass,multinomial_logistic,structure_only,macro_f1,0.3905779908361192,0.014215009971345807,2233
time,30,veracity_multiclass,multinomial_logistic,full,macro_f1,0.4215737346521996,0.00903019128580793,2233
time,30,reach,linear_regression,baseline,r2,0.3856630856077269,0.026703146629023164,2233
time,30,reach,linear_regression,baseline,mae,0.4643655307501965,0.02055864395547372,2233
time,30,reach,linear_regression,structure_only,r2,0.408760144985388,0.025042899934477118,2233
time,30,reach,linear_regression,structure_only,mae,0.45483529320243515,0.015686987016957088,2233
time,30,reach,linear_regression,full,r2,0.4108726791041395,0.015982718851629975,2233
time,30,reach,linear_regression,full,mae,0.4553924358777783,0.016198828528426575,2233
time,60,veracity_binary,logistic,baseline,auc,0.6438157616942105,0.017471035631524127,2251
time,60,veracity_binary,logistic,structure_only,auc,0.6156301642137144,0.022436416407635086,2251
time,60,veracity_binary,logistic,full,auc,0.6327735608401928,0.020254728613835368,2251
time,60,veracity_multiclass,multinomial_logistic,baseline,macro_f1,0.3791290232559518,0.006929763763302838,2251
time,60,veracity_multiclass,multinomial_logistic,structure_only,macro_f1,0.3729890696129205,0.020554635046206905,2251
time,60,veracity_multiclass,multinomial_logistic,full,macro_f1,0.4105630381434933,0.023729320750225498,2251
time,60,reach,linear_regression,baseline,r2,0.47107656412509946,0.03514808795555872,2251
time,60,reach,linear_regression,baseline,mae,0.42625639854242314,0.007521592488474959,2251
time,60,reach,linear_regression,structure_only,r2,0.48623543359079485,0.030513566061323587,2251
time,60,reach,linear_regression,structure_only,mae,0.4176297793787322,0.006764827822466897,2251
time,60,reach,linear_regression,full,r2,0.4911323016014063,0.027921343198605435,2251
time,60,reach,linear_regression,full,mae,0.41648444111735056,0.006385750019146434,2251
time,180,veracity_binary,logistic,baseline,auc,0.635855676581483,0.021289369491983182,2265
time,180,veracity_binary,logistic,structure_only,auc,0.612075827398408,0.020026455898455604,2265
time,180,veracity_binary,logistic,full,auc,0.6266286133221617,0.02423860296985944,2265
time,180,veracity_multiclass,multinomial_logistic,baseline,macro_f1,0.3481400002541602,0.010351742895023582,2265
time,180,veracity_multiclass,multinomial_logistic,structure_only,macro_f1,0.36046465165420993,0.016147183798148466,2265
time,180,veracity_multiclass,multinomial_logistic,full,macro_f1,0.3859017315205658,0.02386669935113211,2265
time,180,reach,linear_regression,baseline,r2,0.6048945303333758,0.03693864083976844,2265
time,180,reach,linear_regression,baseline,mae,0.3626307447234756,0.009589601293256601,2265
time,180,reach,linear_regression,structure_only,r2,0.6200184741225789,0.030450035877352837,2265
time,180,reach,linear_regression,structure_only,mae,0.35235324543899366,0.010640917011384126,2265
time,180,reach,linear_regression,full,r2,0.6282699969492599,0.03279854666172376,2265
time,180,reach,linear_regression,full,mae,0.34909921266705135,0.011725309251065187,2265
