task,window_type,window_value,feature_set,model,metric,mean,std,N_used
veracity,time,30,baseline,logit,auc,0.6552546727544739,0.01497900972664552,2281
reach,time,30,baseline,OLS,r2,0.38299362885844507,0.06271738395328409,2281
reach,time,30,baseline,OLS,mae,0.46357595311158206,0.011407771742940252,2281
veracity,time,30,structure_only,logit,auc,0.6077323232555448,0.016544254521283608,2281
reach,time,30,structure_only,OLS,r2,0.20367168184300835,0.03979471068371121,2281
reach,time,30,structure_only,OLS,mae,0.5557554756824671,0.016553252326048994,2281
veracity,time,30,full,logit,auc,0.6571009332494897,0.018088679784957484,2281
reach,time,30,full,OLS,r2,0.3922702443742236,0.05904851545733291,2281
reach,time,30,full,OLS,mae,0.45901131304545356,0.008905351478430157,2281
veracity,time,60,baseline,logit,auc,0.6470733909349828,0.02031617144798738,2281
reach,time,60,baseline,OLS,r2,0.4583325038795632,0.05074186396671755,2281
reach,time,60,baseline,OLS,mae,0.43041141115438347,0.019599253078251208,2281
veracity,time,60,structure_only,logit,auc,0.6063549217187146,0.016900301383698184,2281
reach,time,60,structure_only,OLS,r2,0.2656375592320655,0.036161970246255774,2281
reach,time,60,structure_only,OLS,mae,0.5324694682860818,0.015555311131235355,2281
veracity,time,60,full,logit,auc,0.645391115493404,0.02721702471068225,2281
reach,time,60,full,OLS,r2,0.47214361473165045,0.04354423097941127,2281
reach,time,60,full,OLS,mae,0.42604382580973565,0.013459567364001888,2281
veracity,time,180,baseline,logit,auc,0.6357252106748319,0.022755358336766358,2281
reach,time,180,baseline,OLS,r2,0.5990490571750978,0.028005955909185122,2281
reach,time,180,baseline,OLS,mae,0.3649736105492295,0.013356953631783169,2281
veracity,time,180,structure_only,logit,auc,0.6097650873611836,0.01390450548084726,2281
reach,time,180,structure_only,OLS,r2,0.3976917464184056,0.02909989741407988,2281
reach,time,180,structure_only,OLS,mae,0.47735287208711286,0.017691393508959406,2281
veracity,time,180,full,logit,auc,0.636534165452805,0.023797699332866733,2281
reach,time,180,full,OLS,r2,0.6287233798231011,0.023884874324743167,2281
reach,time,180,full,OLS,mae,0.34972960385033186,0.011186402661953513,2281
